[2022-02-19 23:36:05] MYD04_3K.A2002247.0230.061.2018004074937.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 23:38:09] MYD04_3K.A2002247.0545.061.2018004075033.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 23:39:17] MYD04_3K.A2002247.0725.061.2018004075203.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 23:40:00] MYD04_3K.A2002247.0800.061.2018004075325.hdf, error: 'vertices' must be a 2D list or array with shape Nx2
[2022-02-19 23:40:16] MYD04_3K.A2002247.0815.061.2018004075201.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 23:40:16] MYD04_3K.A2002247.0905.061.2018004075301.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 23:41:19] MYD04_3K.A2002247.0955.061.2018004075241.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 23:42:26] MYD04_3K.A2002247.1220.061.2018004075359.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 23:43:31] MYD04_3K.A2002247.1400.061.2018004075446.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 23:44:37] MYD04_3K.A2002247.1540.061.2018004075523.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 23:45:41] MYD04_3K.A2002247.1630.061.2018004075622.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 23:45:41] MYD04_3K.A2002247.1720.061.2018004075714.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 23:48:11] MYD04_3K.A2002247.2035.061.2018004075818.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 23:49:20] MYD04_3K.A2002247.2215.061.2018004075944.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 23:50:18] MYD04_3K.A2002247.2305.061.2018004075936.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 23:51:18] MYD04_3K.A2002248.0045.061.2018004080014.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 23:52:19] MYD04_3K.A2002248.0310.061.2018004080134.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 23:53:28] MYD04_3K.A2002248.0450.061.2018004080219.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 23:54:37] MYD04_3K.A2002248.0630.061.2018004080410.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 23:55:40] MYD04_3K.A2002248.0720.061.2018004080343.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 23:57:56] MYD04_3K.A2002248.1125.061.2018004080543.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 23:59:07] MYD04_3K.A2002248.1305.061.2018004092523.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-20 00:00:08] MYD04_3K.A2002248.1355.061.2018004092536.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-20 00:00:08] MYD04_3K.A2002248.1445.061.2018004092625.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-20 00:01:11] MYD04_3K.A2002248.1535.061.2018004092623.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-20 00:01:11] MYD04_3K.A2002248.1625.061.2018004092744.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-20 00:02:09] MYD04_3K.A2002248.1710.061.2018004092802.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-20 00:02:09] MYD04_3K.A2002248.1800.061.2018004092742.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-20 00:03:27] MYD04_3K.A2002248.1940.061.2018004092814.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-20 00:04:43] MYD04_3K.A2002248.2120.061.2018004092953.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-20 00:05:45] MYD04_3K.A2002248.2210.061.2018004092942.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-20 00:07:47] MYD04_3K.A2002249.0215.061.2018004080726.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-20 00:08:43] MYD04_3K.A2002249.0305.061.2018004080837.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-20 00:08:43] MYD04_3K.A2002249.0355.061.2018004080837.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-20 00:09:45] MYD04_3K.A2002249.0445.061.2018004080905.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-20 00:12:02] MYD04_3K.A2002249.0850.061.2018004081005.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-20 00:13:04] MYD04_3K.A2002249.0940.061.2018004081112.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-20 00:13:04] MYD04_3K.A2002249.1030.061.2018004081127.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-20 00:14:08] MYD04_3K.A2002249.1120.061.2018004081200.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-20 00:14:08] MYD04_3K.A2002249.1210.061.2018004081252.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-20 00:15:11] MYD04_3K.A2002249.1300.061.2018004081236.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-20 00:16:18] MYD04_3K.A2002249.1525.061.2018004081421.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-20 00:17:02] MYD04_3K.A2002249.1600.061.2018004081620.hdf, error: x and y arguments to pcolormesh cannot have non-finite values or be of type numpy.ma.core.MaskedArray with masked values
[2022-02-20 00:17:18] MYD04_3K.A2002249.1615.061.2018004081440.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-20 00:17:18] MYD04_3K.A2002249.1705.061.2018004081445.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-20 00:18:33] MYD04_3K.A2002249.1755.061.2018004081522.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-20 00:18:34] MYD04_3K.A2002249.1845.061.2018004081529.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-20 00:19:51] MYD04_3K.A2002249.1935.061.2018004081549.hdf, error: autodetected range of [nan, nan] is not finite
